#Abbreviation,Group,Abbreviation Group,1,2
UMa,1,UMa1,67301,65378
UMa,2,UMa2,65378,62956
UMa,3,UMa3,62956,59774
UMa,4,UMa4,59774,54061
UMa,5,UMa5,54061,53910
UMa,6,UMa6,53910,58001
UMa,7,UMa7,58001,59774
UMa,8,UMa8,58001,57399
UMa,9,UMa9,57399,54539
UMa,10,UMa10,54539,50372
UMa,11,UMa11,54539,50801
UMa,12,UMa12,53910,48402
UMa,13,UMa13,48402,46853
UMa,14,UMa14,46853,44471
UMa,15,UMa15,46853,44127
UMa,16,UMa16,48402,48319
UMa,17,UMa17,48319,41704
UMa,18,UMa18,41704,46733
UMa,19,UMa19,46733,54061
